# id | tr | en | pt | de | fr | it | ru
kendine_guven_01 | Karar verirken başkalarını dinliyorum; kendi deneyimimi de göz ardı etmiyorum. | I listen to others when deciding, without setting aside what my own experience has taught me. | Ao decidir, escuto os outros sem ignorar o que aprendi com minha experiência. | Wenn ich entscheide, höre ich anderen zu, ohne meine eigene Erfahrung zu übergehen. | Pour décider, j’écoute les autres sans écarter ce que ma propre expérience m’a appris. | Quando decido, ascolto gli altri senza ignorare ciò che la mia esperienza mi ha insegnato. | Принимая решение, я слушаю других, но не забываю о том, чему научил меня собственный опыт.
risk_06 | Bir denemeye başlamadan çıkış yolunu belirle. Geri dönebilmek, kararını daha dikkatli vermene yardım edebilir. | Before an experiment, decide how you could step back. An exit plan can help you choose more carefully. | Antes de uma tentativa, pense em como recuar. Ter uma saída pode ajudar a decidir com mais cuidado. | Überlege vor einem Versuch, wie du wieder aussteigen kannst. Ein Ausweg hilft, bewusster zu entscheiden. | Avant un essai, prévoyez comment revenir en arrière. Une porte de sortie peut aider à décider avec soin. | Prima di un tentativo, pensa a come tornare indietro. Una via d’uscita può aiutarti a scegliere con cura. | Перед пробой решите, как сможете отступить. План выхода помогает принять более взвешенное решение.
marcus_03 | Tartışmadan sonra da birlikte yaşayacağız. Haklı çıkma isteğimin, yarınki ilişkimizi gölgelemesini istemiyorum. | We will still share life after this argument. I do not want winning it to cost tomorrow's relationship. | Continuaremos convivendo depois desta discussão. Não quero que vencer hoje prejudique nossa relação amanhã. | Auch nach diesem Streit leben wir miteinander. Ich möchte nicht um jeden Preis gewinnen und morgen die Beziehung belasten. | Nous continuerons à vivre ensemble après cette dispute. Je ne veux pas gagner au prix de notre relation. | Continueremo a vivere insieme dopo questa discussione. Non voglio vincere a costo del nostro rapporto. | После этого спора нам ещё жить рядом. Я не хочу, чтобы сегодняшняя победа стоила завтрашних отношений.
seneca_05 | Öfkeyle yazdığım mesajı göndermeden bekletebilirim. Yarın, bugünkü kelimeleri geri almaya uğraşmak istemiyorum. | I can leave an angry message unsent. Tomorrow, I would rather not have to take back today's words. | Posso deixar uma mensagem de raiva sem enviar. Amanhã, prefiro não ter de retirar as palavras de hoje. | Ich kann eine wütende Nachricht ungesendet lassen. Morgen möchte ich die Worte von heute nicht zurücknehmen müssen. | Je peux attendre avant d’envoyer un message de colère. Demain, je préfère ne pas avoir à reprendre mes mots. | Posso aspettare prima di inviare un messaggio scritto con rabbia. Domani preferisco non dover ritirare le parole di oggi. | Я могу не отправлять сообщение, написанное в гневе. Завтра мне не хотелось бы забирать назад сегодняшние слова.
epiktetos_05 | Sıranın ilerlemesini hızlandıramam; beklerken yanımdaki insana nasıl davranacağımı seçebilirim. | I cannot make the queue move faster; I can choose how I treat the person waiting beside me. | Não posso fazer a fila andar mais depressa; posso escolher como trato quem espera ao meu lado. | Ich kann die Schlange nicht beschleunigen, aber entscheiden, wie ich mit der Person neben mir umgehe. | Je ne peux pas faire avancer la file plus vite ; je peux choisir comment traiter la personne à côté de moi. | Non posso far scorrere la fila più in fretta; posso scegliere come trattare chi aspetta accanto a me. | Я не могу ускорить очередь, но могу выбирать, как обращаться с человеком, который ждёт рядом.
konfucyus_05 | Başkasından beklediğim özeni önce kendi davranışımda gösterebilirim; verdiğim örnek de bir sözdür. | I can first show the care I ask of others in my own actions. My example says something too. | Posso começar mostrando nas minhas ações o cuidado que peço aos outros. Meu exemplo também diz algo. | Ich kann die Sorgfalt, die ich von anderen erwarte, zuerst selbst zeigen. Auch mein Vorbild spricht. | Je peux commencer par montrer dans mes actes l’attention que j’attends des autres. L’exemple parle aussi. | Posso mostrare prima nelle mie azioni la cura che chiedo agli altri. Anche l’esempio parla. | Я могу сначала проявить в своих поступках ту заботу, которой жду от других. Мой пример тоже говорит.
machiavelli_02 | Kötü haber getirenin susturulduğu yerde sorunlar kaybolmaz; onları fark etmek için kalan zaman azalır. | Where bad news is silenced, problems do not disappear. There is simply less time left to notice them. | Onde se calam as más notícias, os problemas não desaparecem. Só sobra menos tempo para percebê-los. | Wo schlechte Nachrichten unterdrückt werden, verschwinden Probleme nicht. Es bleibt nur weniger Zeit, sie zu erkennen. | Là où l’on fait taire les mauvaises nouvelles, les problèmes restent. Il reste seulement moins de temps pour les voir. | Dove si zittiscono le cattive notizie, i problemi restano. Rimane soltanto meno tempo per accorgersene. | Там, где о плохих новостях заставляют молчать, проблемы не исчезают. Просто остаётся меньше времени их заметить.
yunus_02 | Sofrada bir kişiye daha yer hazırlamak, insan sevgisini bugün yapabileceğim bir işe dönüştürür. | Setting a place for one more person turns my care for others into something I can do today. | Preparar um lugar para mais uma pessoa transforma meu cuidado pelos outros em um gesto de hoje. | Einen weiteren Platz am Tisch zu decken macht meine Zuwendung zu einer Handlung für heute. | Mettre un couvert de plus transforme mon attention aux autres en un geste concret aujourd’hui. | Preparare un posto in più a tavola trasforma la cura per gli altri in un gesto concreto, oggi. | Накрыть ещё одно место за столом — значит превратить заботу о людях в поступок, доступный сегодня.
zen_04 | Daha önemli bir anı beklerken masamı siliyorum. Oysa hayat, şimdi yaptığım bu işin de içinde. | I wipe the table while waiting for a more important moment. Yet this ordinary task is part of life too. | Limpo a mesa enquanto espero um momento mais importante. Mas esta tarefa comum também faz parte da vida. | Ich wische den Tisch und warte auf einen wichtigeren Moment. Dabei gehört auch diese einfache Arbeit zum Leben. | J’essuie la table en attendant un moment plus important. Pourtant, ce geste ordinaire fait aussi partie de la vie. | Pulisco il tavolo aspettando un momento più importante. Eppure anche questo gesto ordinario fa parte della vita. | Я протираю стол в ожидании более важного момента. Но и это обычное дело — часть моей жизни.
incil_10 | Bir sofrada kimlerin dışarıda kaldığını fark edip onları davet edebilirim; merhamet böylece davranışıma dönüşür. | I can notice who has been left out of a meal and invite them; compassion then becomes an action. | Posso notar quem ficou de fora da refeição e convidar essa pessoa; assim, a compaixão se torna um gesto. | Ich kann sehen, wer beim Essen ausgeschlossen bleibt, und die Person einladen. So wird Mitgefühl zur Handlung. | Je peux remarquer qui a été exclu du repas et l’inviter ; la compassion devient alors un geste. | Posso notare chi è rimasto escluso dal pasto e invitarlo; così la compassione diventa un gesto. | Я могу заметить, кого не пригласили к столу, и позвать его. Тогда сострадание становится поступком.
sukur_01 | Bugün soframdaki yemeğe şükrederken, onu buraya ulaştıran insanların emeğini de hatırlıyorum. | As I give thanks for today's meal, I remember the people whose work brought it to my table. | Ao agradecer pela refeição de hoje, lembro das pessoas cujo trabalho a trouxe à minha mesa. | Wenn ich für das heutige Essen danke, denke ich auch an die Menschen, deren Arbeit es auf meinen Tisch gebracht hat. | En remerciant pour ce repas, je pense aussi aux personnes dont le travail l’a rendu possible. | Mentre ringrazio per il pasto di oggi, ricordo le persone il cui lavoro lo ha portato sulla mia tavola. | Благодаря за сегодняшнюю еду, я вспоминаю людей, чьим трудом она попала на мой стол.
sakatlik_04 | Eski performansını özleyebilirsin. Geri dönüş planında, bedeninin bugünkü ihtiyaçlarını da anlat. | You may miss your old performance. Tell those planning your return what your body needs now too. | Você pode sentir falta do desempenho de antes. Conte a quem acompanha sua volta o que seu corpo precisa agora. | Du darfst deine frühere Leistung vermissen. Sprich bei der Rückkehrplanung auch darüber, was dein Körper heute braucht. | Votre ancien niveau peut vous manquer. Parlez aussi des besoins actuels de votre corps avec ceux qui accompagnent votre reprise. | Può mancarti la forma di prima. Parla anche dei bisogni attuali del tuo corpo con chi segue il tuo rientro. | Можно скучать по прежней форме. Обсудите и нынешние потребности тела с теми, кто помогает вам вернуться.
beslenme_04 | Elindeki imkânlarla hazırladığın sade bir yemek de özen taşır. Sofranın gösterişli olması gerekmiyor. | A simple meal made with what you have can carry care. Your table need not be impressive. | Uma refeição simples, feita com o que você tem, também pode ter carinho. Sua mesa não precisa impressionar. | Auch ein einfaches Essen aus dem, was da ist, kann fürsorglich sein. Dein Tisch muss nicht beeindrucken. | Un repas simple, préparé avec ce que vous avez, peut être plein d’attention. Votre table n’a pas à impressionner. | Anche un pasto semplice, fatto con ciò che hai, può esprimere cura. La tua tavola non deve stupire. | В простой еде, приготовленной из того, что есть, тоже может быть забота. Стол не обязан впечатлять.
girisimcilik_05 | İş fikrinin heyecanı kadar sana yükleyeceği sorumlulukları da düşün. Planında kendi hayatına da zaman kalsın. | Consider a venture's demands alongside its excitement. Leave time for your own life in the plan. | Pense nas exigências do negócio junto com o entusiasmo. Deixe tempo para sua própria vida no plano. | Denk neben der Begeisterung auch an die Anforderungen einer Gründung. Plane Zeit für dein eigenes Leben ein. | Pensez aux exigences du projet autant qu’à l’enthousiasme qu’il suscite. Gardez du temps pour votre vie. | Considera le richieste del progetto insieme all’entusiasmo. Nel piano lascia tempo anche per la tua vita. | Вместе с воодушевлением оцените и требования нового дела. Оставьте в плане время для собственной жизни.
para_10 | Bekleyen ödemeyi not etmek her şeyi çözmez; ama neyle ilgileneceğini tahmin etmek zorunda kalmazsın. | Writing down a pending payment will not solve everything, but you will know what needs attention. | Anotar um pagamento pendente não resolve tudo, mas ajuda a saber do que precisa cuidar. | Eine offene Zahlung aufzuschreiben löst nicht alles, aber du weißt dann, worum du dich kümmern musst. | Noter un paiement en attente ne règle pas tout, mais vous savez alors ce qui demande votre attention. | Annotare un pagamento in sospeso non risolve tutto, ma ti fa sapere di cosa occuparti. | Запись предстоящего платежа не решит всё, но поможет понять, чему нужно уделить внимание.
affetmek_05 | Affetmek istesen bile güvenin hemen geri gelmeyebilir. Bir kararın, bütün duygularını aynı anda değiştirmesi gerekmez. | Even if you choose forgiveness, trust may return slowly. One decision need not change every feeling at once. | Mesmo escolhendo perdoar, a confiança pode voltar devagar. Uma decisão não precisa mudar todos os sentimentos de uma vez. | Auch wenn du vergeben willst, kann Vertrauen langsam zurückkehren. Eine Entscheidung verändert nicht sofort jedes Gefühl. | Même si vous choisissez de pardonner, la confiance peut revenir lentement. Une décision ne change pas tous les sentiments d’un coup. | Anche se scegli di perdonare, la fiducia può tornare lentamente. Una decisione non cambia subito ogni sentimento. | Даже если вы решите простить, доверие может возвращаться медленно. Одно решение не обязано сразу менять все чувства.
affetmek_09 | Birini affetmeye zorlanmak, yaşadığın incinmeyi hafifletmez. Bu kararın sana ait olması önemli. | Being pressured to forgive does not lessen the hurt. It matters that the decision belongs to you. | A pressão para perdoar não diminui a mágoa. É importante que a decisão seja sua. | Druck zum Vergeben lindert die Verletzung nicht. Es ist wichtig, dass die Entscheidung dir gehört. | Être poussé à pardonner n’atténue pas la blessure. Il importe que cette décision vous appartienne. | Essere spinto a perdonare non attenua il dolore. È importante che la decisione sia tua. | Давление с требованием простить не уменьшает боль. Важно, чтобы это решение оставалось вашим.
hata_05 | Yanlış çözdüğün soruda doğru ilerlediğin yere kadar geri dön. Düzeltmeye her şeyi silerek başlaman gerekmiyor. | Return to the last correct step in a wrong solution. You need not erase all your work to fix it. | Volte ao último passo correto de uma solução errada. Não precisa apagar todo o trabalho para corrigir. | Geh bei einer falschen Lösung zum letzten richtigen Schritt zurück. Du musst nicht alles löschen, um sie zu verbessern. | Revenez à la dernière étape juste d’une solution erronée. Vous n’avez pas à tout effacer pour corriger. | Torna all’ultimo passaggio corretto di una soluzione sbagliata. Non devi cancellare tutto per correggerla. | В неверном решении вернитесь к последнему правильному шагу. Чтобы исправить ошибку, не обязательно стирать всё.
hata_07 | Düzeltmeyi anladığını düşünüyorsan benzer bir soruda dene. Bildiğinle uygulayabildiğin orada buluşur. | Try a correction on a similar problem. That is where understanding meets what you can actually do. | Teste a correção num problema parecido. É aí que a compreensão encontra o que você consegue fazer. | Probiere die Korrektur an einer ähnlichen Aufgabe aus. Dort zeigt sich, wie du dein Verständnis anwenden kannst. | Essayez la correction sur un problème semblable. Vous verrez comment mettre votre compréhension en pratique. | Prova la correzione su un problema simile. Lì la comprensione incontra ciò che sai fare. | Примените исправление к похожей задаче. Так понимание встречается с тем, что вы умеете делать.
dinlemek_07 | Biri sevincini anlatırken hemen bir uyarı ekleme. Önce onun için neyin güzel olduğunu dinle. | When someone shares good news, pause before adding a warning. First hear what makes it good for them. | Quando alguém conta uma boa notícia, espere antes de fazer um alerta. Primeiro ouça por que aquilo é bom para a pessoa. | Wenn jemand Freude teilt, füge nicht sofort eine Warnung hinzu. Hör erst, was daran für die Person schön ist. | Quand quelqu’un partage une joie, attendez avant d’ajouter une mise en garde. Écoutez d’abord ce qui lui fait plaisir. | Quando qualcuno racconta una gioia, aspetta prima di aggiungere un avvertimento. Ascolta cosa la rende bella per lui. | Когда человек делится радостью, не спешите добавлять предостережение. Сначала выслушайте, что для него в этом хорошего.
tek_basina_02 | Güzel bir sofra hazırlamak için misafir beklemen gerekmiyor. Kendin için gösterdiğin özen de değerli. | You need not wait for guests to set a lovely table. The care you take for yourself matters too. | Você não precisa esperar visitas para arrumar uma mesa bonita. O cuidado consigo também importa. | Du musst nicht auf Gäste warten, um den Tisch schön zu decken. Auch die Fürsorge für dich selbst zählt. | Vous n’avez pas à attendre des invités pour dresser une belle table. L’attention que vous vous portez compte aussi. | Non devi aspettare ospiti per apparecchiare con cura. Anche l’attenzione che dedichi a te stesso conta. | Не обязательно ждать гостей, чтобы красиво накрыть стол. Забота о себе тоже имеет значение.
onay_03 | Kimseye anlatmadığın başarın da gerçektir. Onu değerli yapan, kaç kişinin gördüğü değil, senin verdiğin emektir. | An achievement you keep to yourself is still real. Your effort matters even when nobody sees it. | Uma conquista que você guarda para si continua sendo real. Seu esforço importa mesmo quando ninguém vê. | Ein Erfolg, den du für dich behältst, ist trotzdem echt. Deine Mühe zählt auch, wenn niemand sie sieht. | Une réussite que vous gardez pour vous est bien réelle. Votre effort compte même si personne ne le voit. | Un traguardo che tieni per te è comunque reale. Il tuo impegno conta anche se nessuno lo vede. | Достижение, о котором вы никому не рассказали, всё равно реально. Ваш труд важен, даже когда его никто не видит.
uyku_08 | Yatağa uzandığında yarının konuşmasını prova etmek zorunda değilsin. O konuşmaya yarın da hazırlanabilirsin. | You need not rehearse tomorrow's conversation in bed. There can be time to prepare for it tomorrow. | Você não precisa ensaiar na cama a conversa de amanhã. Pode haver tempo para se preparar amanhã. | Du musst im Bett nicht das Gespräch von morgen proben. Auch morgen kann noch Zeit zur Vorbereitung sein. | Vous n’avez pas à répéter au lit la conversation de demain. Vous pourrez aussi vous y préparer demain. | Non devi provare a letto la conversazione di domani. Potrai trovare tempo per prepararti anche domani. | Не обязательно репетировать в постели завтрашний разговор. Время подготовиться может найтись и завтра.
dustukten_sonra_06 | Yeniden denemeden önce işe yarayan kısmı koru. Bir başarısızlık, bütün yöntemi çöpe atmanı gerektirmez. | Before trying again, keep the part that worked. One failure need not make you discard the whole method. | Antes de tentar de novo, preserve o que funcionou. Uma falha não exige abandonar todo o método. | Behalte vor dem nächsten Versuch, was funktioniert hat. Ein Misserfolg macht nicht die ganze Methode unbrauchbar. | Avant de réessayer, gardez ce qui a fonctionné. Un échec ne vous oblige pas à abandonner toute la méthode. | Prima di riprovare, conserva ciò che ha funzionato. Un fallimento non rende inutile tutto il metodo. | Перед новой попыткой сохраните то, что сработало. Одна неудача не требует отбрасывать весь подход.
belirsizlik_09 | Henüz kesinleşmemiş bir habere dayanarak söz vermek zorunda değilsin. Önce neyin belli olmadığını söyle. | You need not make promises based on news that is not confirmed. Say what remains uncertain first. | Você não precisa fazer promessas com base em notícias não confirmadas. Diga primeiro o que ainda é incerto. | Du musst nichts auf Grundlage unbestätigter Nachrichten versprechen. Sag zuerst, was noch unklar ist. | Vous n’avez pas à promettre sur la base d’une nouvelle non confirmée. Dites d’abord ce qui reste incertain. | Non devi fare promesse basate su notizie non confermate. Spiega prima cosa resta incerto. | Не обязательно давать обещания на основе неподтверждённых новостей. Сначала скажите, что ещё неясно.
budist_dusunce_13 | Birinden gelen ilgiyi severken onun her an sana dönük olmasını beklemek zorunda değilsin. | You can appreciate someone's attention without expecting it to be yours at every moment. | Você pode apreciar a atenção de alguém sem esperar que ela esteja voltada para você o tempo todo. | Du kannst die Aufmerksamkeit eines Menschen schätzen, ohne sie in jedem Moment für dich zu erwarten. | Vous pouvez apprécier l’attention de quelqu’un sans attendre qu’elle vous soit consacrée à chaque instant. | Puoi apprezzare l’attenzione di qualcuno senza aspettarti che sia rivolta a te in ogni momento. | Можно ценить чьё-то внимание, не ожидая, что оно будет принадлежать вам каждую минуту.
schopenhauer_01 | Bir isteğime kavuştuğumda hemen yenisinin peşine düşmeden durabilirim. Eksik aramak, sahip olduğumu örtebilir. | After fulfilling a wish, I can pause before chasing another. Searching for lack can hide what I have. | Depois de realizar um desejo, posso parar antes de perseguir outro. Procurar o que falta pode esconder o que tenho. | Nach einem erfüllten Wunsch kann ich innehalten, bevor ich den nächsten verfolge. Der Blick auf den Mangel verdeckt leicht das Vorhandene. | Après un désir satisfait, je peux faire une pause avant d’en poursuivre un autre. Chercher le manque peut masquer ce que j’ai. | Dopo aver realizzato un desiderio, posso fermarmi prima di inseguirne un altro. Cercare ciò che manca può nascondere ciò che ho. | Исполнив одно желание, я могу не бросаться сразу за другим. Поиск недостающего порой заслоняет то, что у меня есть.
schopenhauer_10 | Müzik dinlediğim bu birkaç dakikada bir şey elde etmeye çalışmayabilirim. Dikkatimi yalnızca duyduğuma verebilirim. | For these few minutes of music, I need not try to gain anything. I can simply attend to what I hear. | Nestes minutos de música, não preciso tentar ganhar nada. Posso apenas prestar atenção ao que ouço. | In diesen Minuten mit Musik muss ich nichts erreichen. Ich kann einfach auf das hören, was erklingt. | Pendant ces quelques minutes de musique, je n’ai rien à obtenir. Je peux simplement écouter ce que j’entends. | In questi minuti di musica non devo ottenere nulla. Posso semplicemente prestare attenzione a ciò che ascolto. | В эти несколько минут музыки мне не нужно ничего достигать. Я могу просто слушать то, что звучит.
ayrilik_02 | Birini özlemek, o ilişkiye geri dönmen gerektiği anlamına gelmez. | Missing someone does not mean you have to return to that relationship. | Sentir saudade de alguém não significa que você precise voltar àquela relação. | Einen Menschen zu vermissen bedeutet nicht, dass du in diese Beziehung zurückkehren musst. | Ressentir le manque de quelqu’un ne signifie pas devoir reprendre cette relation. | Sentire la mancanza di qualcuno non significa dover tornare in quella relazione. | Скучать по человеку не значит, что нужно возвращаться в эти отношения.
rutin_04 | Bir gün aksayan düzenin için bütün haftayı bırakman gerekmez. Bir sonraki uygun günden devam edebilirsin. | One disrupted day need not cost you the whole week. Resume your routine on the next suitable day. | Um dia fora da rotina não precisa comprometer a semana inteira. Retome no próximo dia possível. | Ein Tag ohne Routine muss nicht die ganze Woche kosten. Mach am nächsten passenden Tag weiter. | Une journée perturbée ne doit pas compromettre toute la semaine. Reprenez votre rythme dès que possible. | Un giorno fuori programma non deve compromettere tutta la settimana. Riprendi appena puoi. | Один день не по плану не должен перечёркивать всю неделю. Вернитесь к привычному порядку при первой возможности.
beden_05 | Görünüşün, ne kadar saygıyı hak ettiğini belirlemez. Bedenin değişse de saygı görme hakkın değişmez. | Your appearance does not determine the respect you deserve. A changing body does not change that right. | Sua aparência não determina o respeito que você merece. Mudanças no corpo não mudam esse direito. | Dein Aussehen bestimmt nicht, wie viel Respekt du verdienst. Auch wenn dein Körper sich verändert, bleibt dieses Recht. | Votre apparence ne détermine pas le respect que vous méritez. Un corps qui change ne change pas ce droit. | Il tuo aspetto non determina il rispetto che meriti. Un corpo che cambia non cambia questo diritto. | Внешность не определяет, какого уважения вы заслуживаете. Тело меняется, но право на уважение остаётся.
platon_10 | Ekranda gördüğüm kısa bir görüntü, olayın tamamı olmayabilir. Karar vermeden önce öncesini ve sonrasını arayabilirim. | A short clip may not show the whole event. Before judging, I can look for what happened before and after. | Um vídeo curto pode não mostrar o acontecimento inteiro. Antes de julgar, posso buscar o que veio antes e depois. | Ein kurzer Clip zeigt vielleicht nicht das ganze Geschehen. Vor einem Urteil kann ich nach dem Davor und Danach suchen. | Une courte vidéo ne montre pas forcément tout. Avant de juger, je peux chercher ce qui s’est passé avant et après. | Un breve video può non mostrare tutto. Prima di giudicare, posso cercare ciò che è successo prima e dopo. | Короткий ролик может показывать не всё событие. Прежде чем судить, я могу узнать, что было до и после.
durtu_06 | Aklındaki sert cümleyi bir taslağa yazabilirsin. Yazmış olman, onu hemen göndermen gerektiği anlamına gelmez. | Put the harsh words into a draft. Having written them does not mean you have to send them now. | Escreva as palavras duras num rascunho. Tê-las escrito não significa que precise enviá-las agora. | Schreib die harten Worte in einen Entwurf. Nur weil sie dastehen, musst du sie nicht sofort abschicken. | Écrivez ces mots durs dans un brouillon. Les avoir écrits ne vous oblige pas à les envoyer maintenant. | Scrivi le parole dure in una bozza. Averle scritte non significa doverle inviare subito. | Запишите резкие слова в черновик. То, что они уже написаны, не обязывает вас отправлять их сейчас.
