Today | Hoje | Heute | Aujourd’hui | Oggi | Сегодня
Demo screen: no payment or subscription. The three-day timer is not active in this build; demo Pro is enabled. | Tela de demonstração: sem pagamento ou assinatura. Nesta versão, o prazo de três dias não é contado; o Pro de demonstração é ativado. | Demo: keine Zahlung, kein Abonnement. In dieser Version läuft keine dreitägige Frist; Demo-Pro wird aktiviert. | Démonstration : aucun paiement ni abonnement. Le délai de trois jours n’est pas actif dans cette version ; Pro est activé en mode démo. | Schermata demo: nessun pagamento o abbonamento. In questa versione il periodo di tre giorni non è attivo; viene abilitato Pro in modalità demo. | Демоверсия: без оплаты и подписки. В этой сборке отсчёт трёх дней не работает; включается демодоступ Pro.
Access with Pro · Demo | Acessar com Pro · Demo | Mit Pro öffnen · Demo | Accès Pro · Démo | Accedi con Pro · Demo | Открыть с Pro · Демо
Ascend | Ascend | Ascend | Ascend | Ascend | Ascend
Ascend · Original reflection | Ascend · Reflexão original | Ascend · Eigener Gedanke | Ascend · Pensée originale | Ascend · Pensiero originale | Ascend · Авторская мысль
Ascend · Affirmation | Ascend · Afirmação | Ascend · Affirmation | Ascend · Affirmation | Ascend · Affermazione | Ascend · Аффирмация
Ascend reflections · Not direct quotations. | Reflexões do Ascend · Não são citações diretas. | Gedanken von Ascend · Keine direkten Zitate. | Réflexions d’Ascend · Pas de citations directes. | Riflessioni di Ascend · Non sono citazioni dirette. | Размышления Ascend · Не прямые цитаты.
Ascend reminders | Lembretes do Ascend | Ascend-Erinnerungen | Rappels Ascend | Promemoria Ascend | Уведомления Ascend
Preparing Ascend | Preparando o Ascend | Ascend wird vorbereitet | Préparation d’Ascend | Preparazione di Ascend | Подготовка Ascend
Share from Ascend | Compartilhar pelo Ascend | Aus Ascend teilen | Partager depuis Ascend | Condividi da Ascend | Поделиться из Ascend
Welcome to Ascend. Choose your language. | Boas-vindas ao Ascend. Escolha seu idioma. | Willkommen bei Ascend. Wähle deine Sprache. | Bienvenue sur Ascend. Choisissez votre langue. | Benvenuto su Ascend. Scegli la tua lingua. | Добро пожаловать в Ascend. Выберите язык.
Widgets are part of Ascend Pro. | Os widgets fazem parte do Ascend Pro. | Widgets gehören zu Ascend Pro. | Les widgets font partie d’Ascend Pro. | I widget sono inclusi in Ascend Pro. | Виджеты доступны в Ascend Pro.
This topic is available with Ascend Pro. The demo does not require payment. | Este tema está disponível no Ascend Pro. A demonstração não exige pagamento. | Dieses Thema ist mit Ascend Pro verfügbar. Die Demo erfordert keine Zahlung. | Ce thème est disponible avec Ascend Pro. La démo ne nécessite aucun paiement. | Questo tema è disponibile con Ascend Pro. La demo non richiede pagamenti. | Эта тема доступна в Ascend Pro. Демоверсия не требует оплаты.
{0} topics selected | Temas selecionados: {0} | Ausgewählte Themen: {0} | Thèmes sélectionnés : {0} | Temi selezionati: {0} | Выбрано тем: {0}
{0} topics | Temas: {0} | Themen: {0} | Thèmes : {0} | Temi: {0} | Тем: {0}
{0} reflections | Reflexões: {0} | Gedanken: {0} | Réflexions : {0} | Riflessioni: {0} | Мыслей: {0}
{0} thinkers | Pensadores: {0} | Denker: {0} | Penseurs : {0} | Pensatori: {0} | Мыслителей: {0}
{0} times daily | Por dia: {0} | Pro Tag: {0} | Par jour : {0} | Al giorno: {0} | В день: {0}
Famous thinkers | Grandes pensadores | Bekannte Denker | Grands penseurs | Grandi pensatori | Известные мыслители
Eastern tradition | Tradições orientais | Östliche Traditionen | Traditions orientales | Tradizioni orientali | Восточные традиции
No account needed. Your preferences stay on your device. | Não precisa de conta. Suas preferências ficam no dispositivo. | Kein Konto nötig. Deine Einstellungen bleiben auf deinem Gerät. | Aucun compte nécessaire. Vos préférences restent sur votre appareil. | Nessun account necessario. Le preferenze restano sul dispositivo. | Аккаунт не нужен. Настройки хранятся на вашем устройстве.
Ascend · Square | Ascend · Quadrado | Ascend · Quadratisch | Ascend · Carré | Ascend · Quadrato | Ascend · Квадратный
Ascend · Wide | Ascend · Horizontal | Ascend · Breit | Ascend · Large | Ascend · Orizzontale | Ascend · Широкий
7 days, one quote each day. | 7 dias, uma reflexão por dia. | 7 Tage, jeden Tag ein Gedanke. | 7 jours, une pensée par jour. | 7 giorni, un pensiero al giorno. | 7 дней — по одной мысли в день.
Notification permission is off | Permissão de notificações desativada | Benachrichtigungen sind nicht erlaubt | Autorisation des notifications désactivée | Permesso per le notifiche disattivato | Разрешение на уведомления отключено
Reminders on | Lembretes ativados | Erinnerungen an | Rappels activés | Promemoria attivi | Напоминания включены
Keep small efforts going. | Dar continuidade aos pequenos esforços. | Kleine Schritte beständig fortsetzen. | Poursuivre les petits efforts. | Continuare con piccoli sforzi. | Продолжать небольшие усилия.
Find a way when you feel like giving up. | Encontrar um caminho quando der vontade de desistir. | Einen Weg finden, wenn du aufgeben möchtest. | Trouver une voie quand tu veux abandonner. | Trovare una strada quando vuoi arrenderti. | Найти путь, когда хочется сдаться.
Begin again after a break. | Recomeçar depois de uma pausa. | Nach einer Pause wieder anfangen. | Recommencer après une pause. | Ricominciare dopo una pausa. | Начать снова после перерыва.
Ascend · Inspired reflection | Ascend · Reflexão inspirada | Ascend · Inspirierter Gedanke | Ascend · Réflexion inspirée | Ascend · Riflessione ispirata | Ascend · Вдохновлённая мысль
